序号,单词,注音,释义
3796,sugar ,'ʃugə, n.糖 vt.使甜 使具有吸引力 vi.形成糖状 变成颗粒状 造枫糖浆
3797,suggest ,sə'dʒest, vt.建议 暗示 启发 要求
3798,suggestion ,sə'dʒestʃən, n.建议 意见 暗示 迹象 联想
3799,suit ,sju:t, n.起拆 诉讼 请求 套装 vt.适合 取悦 满足
3800,suitable ,'sju:təbl, adj.合适的 适宜的 adv.<古>合适地 恰当地
3801,sulphur ,'sʌlfə, n.硫(磺) 硫黄
3802,sum ,sʌm, n.总数 金额 顶点 概略 一笔钱 vi.共计 总计 概括
3803,summarize ,'sʌməraiz, vt.概括 概述 总结 摘要而言
3804,summary ,'sʌməri, n.摘要 概要 一览 adj.概要的 简略的
3805,summer ,'sʌmə, n.夏 夏季 adj.夏季的 v.度过夏天
3806,sun ,sʌn, n.太阳 日 阳光 中心人物 像太阳般的东西 v.晒太阳
3807,Sunday ,'sʌndi, n.星期日 礼拜日 adj.星期日的
3808,sunlight ,'sʌnlait, n.日光 阳光
3809,sunny ,'sʌni, adj.阳光充足的 睛朗的 明媚的 快活的
3810,sunrise ,'sʌnraiz, n.日出(时分)
3811,sunset ,'sʌnset, n.日落(时分) 衰落时期(尤指人的晚年)
3812,sunshine ,'sʌnʃain, n.(直射)日光 阳光
3813,super ,'sju:pə, adj.极好的 超级的 n.主管人 负责人 警务长 adv.特别 格外
3814,superficial ,.su:pə'fiʃəl, adj.表面的 肤浅的
3815,superior ,su:'piəriə, adj.较高的 优越的 上层的 上好的 出众的 高傲的 n.上级 高手 上标
3816,supermarket ,'sju:pə.mɑ:kit, n.超级市场
3817,supper ,'sʌpə, n.晚饭 晚餐 晚餐会
3818,supplement ,"'sʌplimənt,'sʌpliment", n.补充物 补充 增刊 增补 vt.补充 增补
3819,supply ,sə'plai, n.补给 供给 供应 贮备 vt.补给 供给 提供 提供足够以满足
3820,support ,sə'pɔ:t, vt.支撑 支持 供养 帮助 n.支持 援助 供养
3821,suppose ,sə'pəuz, vt.猜想 假定 让 以为 认为 应该 获准(be suppose to) 让(虚拟语气) vi.推测
3822,supreme ,sju:'pri:m, adj.最高的 最大的 至上的 极度的
3823,sure ,ʃuə, adj.确信的 确实的 肯定的 adv.当然 确实地 无疑地
3824,surely ,'ʃuəli, adv.确实 稳当地 安全地
3825,surface ,'sə:fis, n.地面 表面 外表 平面 adj.表面的 肤浅的 vt.在...上加表层 使...成平面 vi.浮到水面 披露出来 在表面工作
3826,surgeon ,'sə:dʒən, n.外科医师 军医
3827,surgery ,'sə:dʒəri, n.外科 外科手术 诊所
3828,surname ,'sə:neim, n.姓 vt.冠姓
3829,surprise ,sə'praiz, vt.使惊奇 使诧异 奇袭 突然袭击 n.惊奇 诧异 惊讶 突然袭击
3830,surprising ,sə'praiziŋ, adj.惊人的 出人意外的 令人惊讶的 动词surprise的现在分词
3831,surprisingly ,sə'praiziŋli, adv.惊人地(意外地)
3832,surrender ,sə'rendə, v.交出 让与 投降 屈服 n.投降 屈服 放弃
3833,surround ,sə'raund, vt.围 围绕 圈住 包围 环绕 n.环绕物
3834,surroundings ,sə'raundiŋz, n.周围的事物 环境 名词surrounding的复数形式
3835,survey ,sə:'vei, vt.俯瞰 检查 调查 测量 勘定 纵览 环视 n.调查 纵览 视察 测量
3836,survive ,sə'vaiv, vt.幸免于 比...活得长 艰难度过 vi.活下来 活着 继续存在
3837,suspect ,səs'pekt, vt.怀疑 猜想 vi.疑心 猜想 n.嫌疑犯 adj.令人怀疑的 不可信的
3838,suspend ,səs'pend, vt.吊 推迟 悬挂 暂停 取消 vi.悬挂 中止 停止偿付债务
3839,suspicion ,səs'piʃən, n.怀疑 疑心 猜疑
3840,sustain ,səs'tein, vt.支撑 支持 供养 忍受 承受 经受 维持 认可
3841,swallow ,'swɔləu, n.燕子 吞咽 一次吞咽的量 vt.吞下 咽下 忍受 不流露感情 收回 vi.咽口水 忍气吞声 吞下 咽下
3842,swamp ,swɔmp, n.沼泽 沼泽地 湿地 v.淹没 陷于沼泽
3843,swan ,swɔn, n.天鹅 vi.闲荡 游荡
3844,swarm ,swɔ:m, n.一大群 蜂窝 vi.密集 云集 充满
3845,sway ,swei, vt. & vi.摇摆 摇动 支配 影响 n.摇摆 动摇 支配
3846,swear ,swɛə, vt.宣(誓) 发誓 vi.诅咒 n.宣誓 誓言
3847,sweat ,swet, n. 汗 汗水 (凝结在物体表面的)水珠 焦急 繁重工作 vi. 出汗 渗出 焦躁 辛苦工作 vt. (使)出汗 使渗出 榨取 逼问 使焦虑
3848,sweater ,'swetə, n.厚运动衫 毛线衫 毛衣 出汗者
3849,sweep ,swi:p, vt. 扫 扫过 扫除 拂去 刮起 掠过 席卷 扫视 全胜 vi. 打扫 席卷 昂首阔步地走 连绵 全胜n. 扫除 席卷 搜寻 挥动 范围 风帆 (竞赛中)全胜 连绵一片 赌金
3850,sweet ,swi:t, adj.甜的 愉快的 可爱的n.糖 甜食 adv.甜蜜地
3851,swell ,swel, vi. 膨胀 隆起 增长 vt. (使)膨胀 (使)鼓起 (使)增长 n. 膨胀 肿胀 增大 衣着时髦的人 风头人物 adj. <口> 很棒的 一流的 时髦的
3852,swift ,swift, adj.快的 反应快的 迅速的 n.雨燕 线轴 n.斯威夫特(人名) adv.快速地
3853,swim ,swim, vi.游 游泳 眼花 n.游泳
3854,swing ,swiŋ, vi.摇摆 回转 旋转 动摇 n.摇摆 改变 冲力
3855,Swiss ,swis, adj.瑞士的 n.瑞士人
3856,switch ,switʃ, n.开关 转换 鞭子 vt.转换 改变 交换 鞭打 n.(女用)假发
3857,sword ,sɔ:d, n.剑 刀
3858,symbol ,'simbəl, n.象征 符号 记号 标志
3859,sympathetic ,.simpə'θetik, adj.同情的 和谐的 共鸣的 n.交感神经
3860,sympathize ,'simpəθaiz, vi.同情 同感 共鸣
3861,sympathy ,'simpəθi, n.同情 同情心 一致 同感 赞同 慰问
3862,synthetic ,sin'θetik, adj.综合的 合成的 人造的 n.人工制品
3863,system ,'sistəm, n.系统 体系 制度
3864,systematic(al) ,.sisti'mætik(l), adj.有系统的 有条理的 有计划的 分类的 体系的
3865,table ,'teibl, n.桌子 台子 餐桌 表格 项目表 vt.将...放于桌上 提交讨论 搁置 列入表中 adj.桌子的
3866,tablet ,'tæblit, n.碑 匾 片状物 药片
3867,tag ,tæg, n.附加语 附属物 名称 谚语 标签 vt.附以签条 尾随 添饰 指责 连接 vi.紧随 尾随
3868,tail ,teil, n. 尾巴 尾部 后部 辫子 跟随者 (复)tails：燕尾服 (硬币的)反面vt. 跟踪 盯...的梢 为...装尾巴 vi. 尾随 附于其后 逐渐减少 n. 限嗣继承 adj. 限嗣继承的
3869,tailor ,'teilə, n.裁缝 vt.裁制衣服 剪裁 vi.做裁缝
3870,take ,teik, vt.拿 抓 吃 拿走 取 修(课程) 花费 记录 认为 搭乘 n.拿取 取得物
3871,tale ,teil, n.故事 传说 叙述 谎话 总计
3872,talent ,'tælənt, n.天才 才能 人才 天资
3873,talk ,tɔ:k, vi.讲话 说vt.谈论 商讨 n.谈话 会谈 讲话 讨论
3874,tall ,tɔ:l, adj.高的 身材高的 难以置信的 难以办成的 夸大的 adv.夸大地
3875,tame ,teim, adj.驯服的 顺从的 柔顺的 乏味的 vt.驯养 使...驯服 vi.变得驯服
3876,tan ,tæn, n.棕褐色 黝黑 adj.棕黄色的 棕褐色的 v.晒黑 鞣(革) 使晒成棕褐色
3877,tank ,tæŋk, n.坦克 大容器 槽 箱 罐 贮水池 vt.把...储于槽中
3878,tap ,tæp, n.龙头 塞子 窃听 轻拍 轻敲 鞋掌 vi.轻拍 轻击 补鞋掌 选择 vt.装龙头 窃听 利用 开发
3879,tape ,"teip, tep"," n.线带 磁带 录音带 磁带 胶布 v.(用带子)捆 录音 adj.录音的, 用来录音的"
3880,target ,'tɑ:git, n.靶 标的 目标 对象 vt.把...作为目标 瞄准
3881,task ,tɑ:sk, n.任务 工作 作业 vt.交给某人(任务)
3882,taste ,teist, vt.尝 尝到 品尝 尝试 有...味道的 n.味觉 味道 品味 尝试
3883,tax ,tæks, n.税 税款 负担 重负vt.课税 使...负重荷 斥责
3884,taxi ,'tæksi, n.出租汽车 v.用出租车运送 乘计程车 (飞机)滑行
3885,tea ,ti:, n.茶 茶叶 茶树 茶点
3886,teach ,ti:tʃ, vt.讲 教育 教 教书 教导 教训 vi.给予指导
3887,teacher ,'ti:tʃə, n.教师 老师 先生
3888,teaching ,'ti:tʃiŋ, n.教学 教义 讲授 教导 adj.教学的 动词teach的现在分词
3889,team ,ti:m, n.队 组 vt.协同工作 vi.结成一队 adj.团队的
3890,tear ,tiə, n.眼泪 泪珠 (撕破的)洞或裂缝 撕扯 vt.撕掉 撕开 撕裂 扯下 扰乱 vi.流泪 撕破
3891,technical ,'teknikəl, adj.技术的 工艺的
3892,technician ,tek'niʃən, n.技术员 技师
3893,technique ,tek'ni:k, n.技术 技巧 技能
3894,technology ,tek'nɔlədʒi, n.工艺学 工艺 技术
3895,tedious ,'ti:diəs, adj.冗长乏味的 单调乏味的 沉闷的
3896,teenager ,'ti:n.eidʒə, n.青少年 13岁到19岁的年轻人
3897,telegram ,'teligræm, n.电报 vt.向...发电报
3898,telegraph ,'teligrɑ:f, n.电报机 电报 vt.打电报 显示
3899,telephone ,'telifəun, n.电话 vi.打电话
3900,telescope ,'teliskəup, n.望远镜 v.缩短 压缩
3901,television ,'teliviʒən, n.电视 电视机 电视节目 电视行业
3902,tell ,tel, vt.讲述 吩咐 辨别 告诉 vi.讲述 告诉 产生效果 告发
3903,temper ,'tempə, n.调剂 韧度 回火度 心情 情绪 脾气 性情 vt.使缓和 调和 vt.使回火
3904,temperature ,'tempritʃə(r), n.温度 体温 气温 发烧
3905,temple ,'templ, n.圣堂 神殿 庙宇 寺院
3906,temporary ,'tempərəri, adj.暂时的 n.临时工
3907,tempt ,tempt, vt.引诱 诱惑 吸引 勾引
3908,temptation ,temp'teiʃən, n.诱惑 引诱
3909,ten ,ten, num.十 十个
3910,tenant ,'tenənt, n.承担人 房客 佃户 占用者 vt.租借 租赁
3911,tend ,tend, vt.照管 照料 护理 趋向 易于 走向 倾向
3912,tendency ,'tendənsi, n.趋向 趋势 倾向
3913,tender ,'tendə, adj. 嫩的 脆弱的 温柔的 亲切的 敏感的 未成熟的 痛的 (船)易倾斜的 v. 提供 投标 (使)变柔软 n. 提出 投标 支付 偿还 照管人 补给船 煤水车
3914,tennis ,'tenis, n.网球 网球运动
3915,tense ,tens, n.(动词)时态 时 adj.拉紧的 绷紧的 紧张的 v.使紧绷 拉紧
3916,tent ,tent, n.帐篷 v.住帐篷 宿营
3917,tenth ,tenθ, num.第十 十分之一 n.第十 十分之一
3918,term ,tə:m, n.期 学期 条件 词 术语 名词 期限 条款 vt.把...称为
3919,terminal ,'tə:minl, adj.末端的 终点的 晚期的 (每)学期的 n.末端 终端机 终点 终点站
3920,terrible ,'terəbl, adj.可怕的 极度的 糟糕的
3921,terrific ,tə'rifik, adj.可怕的 极大的 极好的 非常的
3922,territory ,'teritəri, n.领土 版图 领域 范围
3923,terror ,'terə, n.恐怖 惊骇 <口>令人惧怕或讨厌的人或事物
3924,test ,test, n.测试 试验 考验 vt.测试 试验 接受测验 adj.测试的
3925,text ,tekst, n.原文 本文 课文 正文 v.发短信
3926,textbook ,'tekstbuk, n.课本 教科书
3927,textile ,'tekstail, n.纺织品 adj.纺织的
3928,than ,ðæn, conj.(比较级)比 prep.比(用于两者之间的比较)
3929,thank ,θæŋk, vt.谢谢 感谢 n.感谢 谢意
3930,that ,ðæt, adj.如此的 上文提到的 特定的 pron.那 adv.那样 非常 conj.引导从句
3931,the ,"ði:, ði", art.(定冠词)这 那 这些 那些 adv.(用于比较级前)更加 (用于形容词、副词比较级前)越...越...
3932,theatre ,'θiətə, n.戏院 戏剧 教室 =theater
3933,their ,ðɛə, pron.他(她、它)们的 adj.他们的 她们的 它们的
3934,theirs ,ðɛəz, pron.他(她)们的东西
3935,them ,θem, pron.(宾格)他(她、它)们
3936,themselves ,ðəm'selvz, pron.他(她、它)们自己
3937,then ,ðen, adv.当时 然后 那么 而且 adj.当时的 n.当时
3938,theoretical ,θiə'retikəl, adj.理论(上)的
3939,theory ,'θiəri, n.理论 原理 学说 意见
3940,there ,"ðɛə, ðə", adv.在那里 在那点上 从那里 到那里 n.那一点 那个地方 pron.表示存在(与be连用)
3941,thereby ,'ðɛə'bai, adv.因此 从而 由此
3942,therefore ,'ðɛəfɔ:, adv.因此 所以
3943,thermometer ,θə'mɔmitə, n.温度计 寒暑表
3944,these ,ði:z, adj. & pron.这些
3945,they ,ðei, pron.(主格)他(她)们
3946,thick ,θik, adj.厚的 粗的 密的 浓 adv.厚 浓 密 n.密集处 最厚处
3947,thickness ,'θiknis, n.厚(度) 密(度) 一层 含混不清
3948,thief ,θi:f, n.窃贼 偷窃犯 小偷
3949,thin ,θin, adj.薄的 淡的 稀的 vi.变薄 变瘦 adv.薄薄地 稀疏地
3950,thing ,θiŋ, n.物 用品 事 情况 (复)things：所有物 财产 用品
3951,think ,θiŋk, vt.想 想要 认为 考虑 记起 n.想
3952,third ,θə:d, num.第三 三分之一 adj.第三的 三分之一的
3953,thirdly ,'θə:dli, adv.第三
3954,thirst ,θə:st, n.渴 口渴 渴望 vi.(for)渴望 渴求
3955,thirsty ,'θə:sti, adj.口渴的 渴望的
3956,thirteen ,'θə:ti:n, num.十三 十三个
3957,thirty ,'θə:ti, num.三十 三十个
3958,this ,ðis, adj.这 今 pron.这 这个 adv.这么 这样
3959,thorn ,θɔ:n, n.刺 棘 荆棘 蒺藜
3960,thorough ,'θʌrə, adj.彻底的 详尽的 完全的 精心的
3961,those ,ðəuz, pron.那些 adj.那些
3962,though ,ðəu, conj.虽然 尽管 adv.可是 然而 不过
3963,thought ,θɔ:t, n.思想 思维 想法 观念 意向 动词think的过去式和过去分词
3964,thoughtful ,'θɔ:tfəl, adj.沉思的 体贴的
3965,thousand ,'θauzənd, num.千 千个 n.无数 千 (复)thousands：成千上万 许许多多
3966,thread ,θred, n.线 细丝 螺纹 头绪 线索 思路 vt.穿线于 穿过 遍布 vi.小心地通过 蜿蜒前进 滴下成丝状
3967,threat ,θret, n.威胁 恐吓 凶兆 vt.威胁 恐吓
3968,threaten ,'θretn, vt. & vi.威胁 恐吓
3969,three ,θri:, num.三 三个 pron. & adj.三(个 只...)
3970,thrill ,θril, n.一阵激动 震颤 激动 v.(使)震颤 兴奋 激动
3971,thrive ,θraiv, vi.兴旺 繁荣 旺盛 茁壮成长
3972,throat ,θrəut, n.咽喉 喉咙 嗓音 vt.低语 压着嗓子说(唱)
3973,throne ,θrəun, n.宝座 御座 王位 君主
3974,throng ,θrɔ:ŋ, n.群 人群 群众 一大群 大量 vt.挤满 群集 挤压 adj.拥挤的 忙的
3975,through ,θru:, prep.经过 穿过 凭借 adv.从头到尾 穿越 完全 adj.完成的 完结的 贯穿的 直通的
3976,throughout ,θru:'aut, prep.遍及 贯穿 adv.到处 自始至终
3977,throw ,θrəu, vt.投 掷 抛 扔 n.投掷 抛
3978,thrust ,θrʌst, vt.插 刺 推挤 n.插 讽刺 推力 刺 力推
3979,thumb ,θʌm, n.(大)拇指 v.翻阅 示意要求搭车
3980,thunder ,'θʌndə, n.雷 雷声 vi.打雷 轰隆地响 vt.吼出 大声喊出
3981,Thursday ,'θə:zdi, n.星期四
3982,thus ,ðʌs, adv.如此 这样 因而 因此 从而
3983,tick ,tik, n.滴答声 记号 勾号 虱类 扁虱 被套 枕套 褥套 条纹厚棉布 <英>赊账 赊欠vt.给...标记号vi.滴答作响 运作
3984,ticket ,'tikit, n.票 券 标签 罚款单 纲领 传票 vt.加标签于 售票
3985,tide ,taid, n.潮 潮汐 潮流 潮水 趋势
3986,tidy ,'taidi," adj.整洁的 整齐的 <口>相当大的 vt.使整洁 整理 vi.整理 收拾 n.(沙发,椅子等的)背罩 装杂物的容器"
3987,tie ,tai, n.领带 结 束缚 不分胜负 联系 vt.系 约束 捆绑 vi.打结 连结
3988,tiger ,'taigə, n.老虎 凶残之人
3989,tight ,tait, adj.紧的 紧身的 严厉的 密集的 拮据的 adv.紧紧地 牢固地 迅速地
3990,till ,til, prep. & conj.直到...为止 vt.耕作 n.放钱的抽屉 冰碛
3991,timber ,'timbə, n.木材 木料
3992,time ,taim, n.时间 时机 次数 回 倍 vt.为...安排时间 计时 定时 乘 v. [计算机]DOS命令 显示并允许改变系统时间 adj.根据时间的 时间上的
3993,timetable ,'taim.teibl, n.时间表 时刻表 课程表
3994,timid ,'timid, adj.胆怯的 羞怯的
3995,tin ,tin, n.锡 罐头 听头 adj.锡制的 vt.镀锡于
3996,tiny ,'taini, adj.微小的 极小的
3997,tip ,tip, n.梢 末端 尖 尖端 小费 提示 轻击 翻倒 倾斜 vi.给小费 装顶端 去掉...的顶部 倾斜 翻倒 vt.轻击
3998,tire ,'taiə, vi.疲劳 累 厌倦 vt.使疲倦 厌烦n.轮胎 金属圈
3999,tired ,'taiəd, adj.疲劳的 疲倦的 累的 厌倦的 装备以轮胎的 动词tire的过去式和过去分词形式
4000,tissue ,'tiʃu:, n.薄绢 薄纸 (生物的)组织 织物 纸巾
4001,title ,'taitl, n.标题 题目 称号 头衔 称号 vt.予称号 加标题于 adj.标题的
4002,to ,tu:, prep.(表示方向)到 向 达到 (表示间接关系)给 离 对于 为了 adv.(表示方向)去 (门)关上
4003,toast ,təust, n.烤面包 吐司 祝酒 祝酒词 被祝酒的人 vt.烘 烤 vi. (为 ... )祝酒
4004,tobacco ,tə'bækəu, n.烟草 烟叶
4005,today ,tə'dei, adv.在今天 现在 当今 n.今天 当今 adj.现在的
4006,toe ,təu, n.脚趾 足尖 vt.趾触 趾踢 vi.踮着脚尖走
4007,together ,tə'geðə, adv.共同 一起 adj.妥当的 镇定的
4008,toilet ,'tɔilit, n.厕所 盥洗室 浴室 梳洗打扮 礼服 创口洗涤 v.打扮 使用厕所
4009,tolerance ,'tɔlərəns, n.忍受 容忍 忍耐力 宽容 公差
4010,tolerate ,'tɔləreit, vt.忍受 容忍 宽恕
4011,tomato ,"tə'mɑ:təu, tə'meitəu", n.番茄 西红柿
4012,tomb ,tu:m, n.坟 冢 vt.埋葬
4013,tomorrow ,tə'mɔrəu, adv.在明天 n.明天 将来
4014,ton ,tʌn, n.吨 大量
4015,tone ,təun, n. 音 腔调 声调 音调 语气 品质 色调 vt. 使更健壮 装腔作势地说 定调 调色 vi.调和(颜色) 呈现悦目色调
4016,tongue ,tʌŋ, n.舌 舌头 舌状物 语言 口才 v.舔 用舌吹奏管乐器 发音
4017,tonight ,tə'nait, adv.在今夜 n.今夜
4018,too ,tu:, adv.也 还 太 过分 很
4019,tool ,tu:l, n.工具 器具 用具 手段 被利用者 印压的图案 vt.用工具加工 vi.使用工具
4020,tooth ,tu:θ, n.牙齿 齿状物 粗糙表面 嗜好 (复)teeth [ti:θ]：有效手段
4021,top ,tɔp, n.顶 顶部 首位 adj.顶的 最高的 顶端的 v.高过 加顶 高耸
4022,topic ,'tɔpik, n.题目 论题 话题
4023,torch ,tɔ:tʃ, n.火炬 火把 手电筒 纵火犯 v.用火炬点燃
4024,torrent ,'tɔrənt, n.奔流 激流 洪流 山洪adj.奔流的 汹涌的
4025,tortoise ,'tɔ:təs, n.龟 乌龟
4026,torture ,'tɔ:tʃə, n.拷问 折磨 痛苦 vt.拷打 拷问 使痛苦 曲解
4027,toss ,tɔs, vt. & vi.扔 抛 掷 投掷 摇荡 辗转 n.投掷 震荡
4028,total ,'təutl, adj.总的 全体的 完全的 vi.合计 总共 n.总数 合计
4029,touch ,tʌtʃ, vt.触摸 触动 吃 喝 触及 感动 vi.接触 联系 n.触 触觉 接触 少许 痕迹 修饰
4030,tough ,tʌf, adj.坚韧的 健壮的 强硬的 艰苦的 棘手的 严厉的 adv.以强硬的态度 n.暴徒 恶棍
4031,tour ,tuə, n. & vi.旅行 游历 旅游 周游 观光 巡回
4032,tourist ,'tuərist, n.旅游者 观光者
4033,toward ,tə'wɔ:d, prep.向 对于 接近 关于 将近 朝 adj.有希望的 有利的 逼近的
4034,towards ,tə'wɔ:dz, prep.向 朝 关于 adj.在即的 有希望的 = toward
4035,towel ,"'tauəl, taul", n.毛巾 手巾 v.用毛巾擦
4036,tower ,'tauə, n.塔 高楼 vi.屹立 高耸
4037,town ,taun, n.镇 市镇 城镇 城市
4038,toy ,tɔi, n.玩具 玩物 adj.供玩耍的 玩具的 v.玩弄
4039,trace ,treis, n.痕迹 踪迹 微量 丝毫 vt.跟踪 追踪 找出根源 描绘 vi.追踪
4040,track ,træk, n.行踪 踪迹 路径 轨道 小路 跑道 惯例 
4041,tractor ,'træktə, n.拖拉机 牵引车 螺旋桨飞机
4042,trade ,treid, n.贸易 交易 买卖 职业 vi.交易 进行交易 做买卖 交换 adj.贸易的 商业的
4043,tradition ,trə'diʃən, n.传统 惯例
4044,traditional ,trə'diʃənəl, adj.传统的 惯例的
4045,traffic ,'træfik, n.交通 通行 (人或车等)交通流量 不正当生意(走私) v.做生意(多指违法的) 游览
4046,tragedy ,'trædʒidi, n.悲剧 惨事 惨案 灾难
4047,trail ,treil, n.痕迹 踪迹 小径 尾 vt.跟踪 追踪 拖拽 vi.拖 尾随 追踪 落后于
4048,train ,trein, vt.培养 训练 培训 n.列车 火车 队列 行列 一系列
4049,training ,'treiniŋ, n.训练 锻炼 培养 动词train的现在分词和动名词形式
4050,traitor ,'treitə, n.叛徒 卖国贼 出卖朋友者
4051,tram ,træm, n.(有轨)电车 矿车 煤车 缆车 (复数)trams：有轨电车轨道 vt.用缆车 电车等运输
4052,tramp ,træmp, n.流浪者 游民 重步声 v.践踏 重步行走
4053,transfer ,træns'fə:, vt. & vi.转移 调动 调转 调任 n.迁移 移动 换车
4054,transform ,træns'fɔ:m, vt.改变 改造 变换 转换 变形 vi.改变 n.变形
4055,transformation ,.trænsfə'meiʃən, n.变化 改造 转变 转型 转化
4056,transformer ,træns'fɔ:mə, n.变压器 转换器
4057,transistor ,træn'zistə, n.晶体管 晶体管收音机
4058,translate ,træns'leit, vt. & vi.翻译 译 解释 转移 调动
4059,translation ,træns'leiʃən, n.翻译 译文 译本 RNA的转录 平移
4060,transmission ,træns'miʃən, n.传送 传动 发射 播送 变速器 传递的信息
4061,transmit ,trænz'mit, vt.传送 传达 发射 传输 代代相传 vi.(以无线电或有线电的方式)发送信号
4062,transparent ,træns'perənt, adj.透明的 易识破的 明显的 清晰的
4063,transport ,træns'pɔ:t, vt.运输 流放 为强烈的情绪所激动 n.运输、运输工具 (常用复数)强烈的情绪(狂喜或狂怒)
4064,transportation ,.trænspə'teiʃən, n.运输 运送 客运 运输系统 运输工具
4065,trap ,træp, n.陷阱 诡计 圈套 困境 双轮轻便马车 vt.诱骗 设圈套 陷入(困境)
4066,travel ,'trævl, vt. & vi. & n.旅行 传播 移动
4067,tray ,trei, n.(浅)盘 托盘 碟
4068,treason ,'tri:zn, n.谋反 通敌 叛国罪 叛逆 背叛
4069,treasure ,'treʒə, n.财富 珍宝 vt.珍视
4070,treat ,tri:t, vt.对待 处理 治疗 请客 视为 n.款待 宴飨
4071,treatment ,'tri:tmənt, n.待遇 对待 处理 治疗 疗法
4072,treaty ,'tri:ti, n.条约 协议 协定
4073,tree ,tri:, n.树 树状物 vt.把…赶上树 使…走投无路
4074,tremble ,'trembl, vi.发抖 哆嗦 摇动 战悚 忧虑 微动 n.战悚 颤抖
4075,tremendous ,tri'mendəs, adj.极大的 非常的 巨大的 惊人的
4076,trend ,trend, vi.伸向 倾向 转向 n.趋势 倾向 方位
4077,trial ,'traiəl, n.试 试验 试用 审判 讯问 审讯 尝试 努力 讨厌的事 人 adj.尝试性的 审讯的
4078,triangle ,'traiæŋgl, n.三角(形)
4079,tribe ,traib, n.部落 宗族 种族 一伙人
4080,trick ,trik, n.诡计 欺诈 把戏 诀窍 vt.哄骗 戏弄 欺骗 adj.有诡计的 有阴谋的
4081,trifle ,'traifl, n.小事 琐事 少许 少量 v.浪费 玩忽
4082,trim ,trim, adj.整齐的 匀称的 vt.使整齐 使整洁 修除 削剪 装备 痛打 击败 n.整齐 装饰 修剪下来的部分
4083,trip ,trip, vi. 绊 绊倒 失足 轻快地走 失误 结巴 旅行 vt. 绊倒 使跌倒 使犯错 使失败 起锚 竖帆 n. 旅行 摔倒 差错 轻快的步伐
4084,triumph ,'traiəmf, n.凯旋 胜利 欢欣 vi.成功 得胜 庆功
4085,troop ,tru:p, n.军队 一群 组 大量 vi.群集 结队 成群前行
4086,tropical ,'trɔpikəl, adj.热带的 炎热的 热带植物的
4087,trouble ,'trʌbl, n.烦恼 困难 烦恼 vi.烦恼 麻烦 苦恼 费神
4088,troublesome ,'trʌblsəm, adj.令人烦恼的 麻烦的 讨厌的 困难的 棘手的
4089,trousers ,'trauzəz, n.裤子 长裤
4090,truck ,trʌk, n.卡车 载重汽车 对...进行交易 来往 实物工资 v.以货易货 交往 以卡车运输
4091,true ,tru:, adj.真的 真实的 忠实的 adv.真实地 n.真相 精确 vt.使...平衡
4092,truly ,'tru:li, adv.真正地 忠实地 真实地 真诚地 正确地
4093,trumpet ,'trʌmpit, n.喇叭 小号 喇叭声 喇叭手 vt.宣扬 鼓吹 吹嘘 vi.吹喇叭 发出喇叭似的声音
4094,trunk ,trʌŋk, n.树干 大衣箱 皮箱 躯干 干线 象鼻 (汽车后部)行李箱 (复)trunks：男用运动裤
4095,trust ,trʌst, n.信任 信托 vt.相信 委托 vi.信任
4096,truth ,tru:θ, n.真理 真实 真实性 真像 事实
4097,try ,trai, vt.试 尝试 试验 审问 审判 考验 vi.尝试 试验 n.尝试 试验
4098,tub ,tʌb, n.桶 盆 浴缸 浴盆 v.装入桶 洗澡
4099,tube ,'tju:b, n.管 管状物 电子管 显像管 电视 地铁 气管
4100,tuck ,tʌk, vt.折短 卷起 塞 打摺 挤进 畅饮 vi.缝褶裥 缩拢 畅饮 n.缝摺 船尾突出部下方 食品 鼓声
4101,Tuesday ,'tju:zdi, n.星期二
4102,tuition ,tju:'iʃən, n.教 教诲 教学 学费
4103,tumble ,'tʌmbl, vi.摔倒 跌倒 打滚 下跌 倒塌 翻跟斗 偶然发现 理解 vt.使摔倒 使混乱 翻滚 n.跌倒 混乱
4104,tune ,tju:n, n.调子 和谐 曲调 协调 调整 vt.调整 为...调音 vi.和谐 调音
4105,tunnel ,'tʌnl, n.隧道 坑道 地道 v.挖隧道 挖地道
4106,turbine ,'tə:bin, n.叶轮机 汽轮机 涡轮
4107,turbulent ,'tə:bjulənt, adj.骚动的 骚乱的 狂暴的 动荡的 汹涌的
4108,turkey ,'tə:ki, n.火鸡 火鸡肉 笨蛋 失败之作Turkey：土耳其
4109,turn ,tə:n, vt.转 翻 vi.转动 旋转 转向 轮流 翻转 n.转动 轮流
4110,turning ,'tə:niŋ, n.旋转 回转 转向 变向 转弯处
4111,turnip ,'tə:nip, n.萝卜 芜菁 大头菜 <俚>大怀表
4112,tutor ,'tju:tə, n.家庭教师 导师 v.当家庭教师 当导师 指导
4113,twelfth ,twelfθ, num.第十二 adj.第十二的 十二分之一的 n.第十二 十二日 第十二音
4114,twelve ,twelv, num.十二 十二个
4115,twentieth ,'twentiiθ, num.第二十 n.二十分之一adj.第二十的
4116,twenty ,'twenti, num.二十 二十个
4117,twice ,twais, adv.两次 两倍
4118,twin ,twin, adj.孪生的 n.孪生儿 双胞胎之一
4119,twinkle ,'twiŋkl, vi.闪烁 闪耀 使...闪耀 眨眼 迅速移动 n.闪烁 闪耀 眨眼 瞬息
4120,twist ,twist, vt. & vi.拧 捻 搓 扭曲 弯曲 n.扭曲 弯曲 盘旋 捻 拧
